zip_code,Population Density (Per Sq. Mile),incomeBelowPovertyLevelProportion,incomePerCapita,incomeGiniIndex,underPoverty,popDensity,whiteMajority,eduHsOrLessProportion,eduHsProportion,eduBachOrBetterProportion,eduEnrollmentProportion,eduDropoutProportion,employedProportion,employedPvtSecProportion,employedPubSecProportion,employedSelfEmpProportion,employedPvtNonProProportion,employedUnpaidFamProportion,insuredProportion,housingRentMoreThan30pcProportion,longitude,latitude
10001,38537.59,0.1524197854473084,86014.0,0.6074,0,38537.59,0.6231678289556103,0.061326307528448906,0.2361679466337799,0.7025057458377711,0.2207339371518476,0.013311148086522463,0.9381186496230745,0.6989728181119419,0.06086227377541751,0.13465166655020613,0.10418559150303962,0.001327650059394871,0.9425815342214056,0.4358367162832657,,
10002,88610.21,0.26384403077103763,30677.0,0.5725,1,88610.21,0.31443054218800126,0.3323377859463717,0.33635826577833206,0.3313039482752962,0.17984573407492915,0.04296731546088873,0.9171440096813231,0.7050785831574009,0.09403589021815623,0.11186371100164204,0.08230706075533661,0.006714754867464227,0.928928194433717,0.4921073538047045,,
10003,95471.94,0.09145242386870316,91141.0,0.568,0,95471.94,0.7791587171799764,0.035003431708991076,0.16123948244744402,0.8037570858435649,0.27240270003905015,0.004514981529621015,0.9512251369270683,0.7076489484211165,0.061124916661615854,0.13076550093945088,0.0986423419601188,0.0018182920176980422,0.9555389603293141,0.42438400355970857,,
10004,5341.677,0.025443330763299923,105390.0,0.4436,0,5341.677,0.6889632107023411,0.014113740141137402,0.08094645080946451,0.9049398090493981,0.14758009543285616,0.0,0.963319578175149,0.7315564017134698,0.05854355069014755,0.12660637791527843,0.08329366968110423,0.0,0.9347826086956522,0.3683737646001797,,
10005,118063.1,0.1172085850147796,102957.0,0.4588,0,118063.1,0.7481566820276497,0.007027955645791035,0.10823051694518195,0.884741527409027,0.18718861209964413,0.0,0.9733562526858617,0.8316409124356144,0.032671081677704196,0.06975717439293598,0.0659308314937454,0.0,0.956777316735823,0.37012424154868534,,
10007,43044.32,0.03527265355767282,153897.0,0.4803,0,43044.32,0.7262649232518477,0.06877811094452774,0.1634182908545727,0.7678035982008995,0.21708185053380782,0.0,0.9876192932679907,0.7364847218594933,0.03290676416819013,0.19717942021415513,0.0334290937581614,0.0,0.991755192643095,0.26881720430107525,,
10009,97536.59,0.2199080036798528,47782.0,0.5334,0,97536.59,0.606607804991603,0.12452588962284253,0.2879394843383763,0.5875346260387811,0.19680887025894125,0.019975786924939468,0.9504409672830726,0.662805316091954,0.10410680076628352,0.1296096743295019,0.10120330459770115,0.002274904214559387,0.9244431867363585,0.449228652132976,,
10010,84775.84,0.11605584642233857,88872.0,0.5245,0,84775.84,0.7450708052779371,0.04187697160883281,0.1777602523659306,0.7803627760252366,0.20531220876048462,0.00959409594095941,0.9628224582701063,0.739312450748621,0.07363081166272656,0.09584318360914106,0.09121355397951143,0.0,0.960386444168509,0.3832014072119613,,
10011,77021.8,0.10564361031898667,114218.0,0.5615,0,77021.8,0.7859833172290036,0.047863690995215986,0.16883086277189924,0.7833054462328848,0.13814025680824044,0.003416856492027335,0.9575783354600879,0.6713257721578963,0.07373626699043502,0.15931771743314874,0.09562024341851995,0.0,0.9559995243191818,0.3546884419356607,,
10012,75868.34,0.12139908150484761,85491.0,0.5375,0,75868.34,0.7395115586904228,0.05766941036392815,0.14665838380700938,0.7956722058290625,0.19969007831804667,0.0,0.9671634407272277,0.7015984654731457,0.03753196930946292,0.13184143222506395,0.12819693094629156,0.0008312020460358057,0.9506258409100176,0.3965313362238865,,
10013,53628.7,0.12041884816753927,107794.0,0.6385,0,53628.7,0.5387420237010028,0.19293865905848787,0.18914942938659057,0.6179119115549215,0.21554720690986973,0.0,0.9622977058509692,0.7259286638329329,0.040904330684408303,0.16694387975112426,0.05722910121357728,0.008994024517957248,0.9455507156191661,0.4184053231081538,,
10014,55829.67,0.07085898153329603,122098.0,0.5379,0,55829.67,0.8897590740391269,0.009120093389756312,0.14012111484021597,0.8507587917700278,0.12280701754385964,0.0,0.9471473886431667,0.7193396226415094,0.03509433962264151,0.17721698113207549,0.0681132075471698,0.0002358490566037736,0.970001892625071,0.3722488038277512,,
10016,96675.02,0.11007361403661159,88762.0,0.5047,0,96675.02,0.7073355621209765,0.042518377414706814,0.17859672259261972,0.7788848999926734,0.1531261250450018,0.0,0.9557892324002177,0.7355656813957672,0.05399004736494994,0.10824989507764254,0.09724803645302477,0.004946339708615625,0.9638401312064354,0.43261690386291024,,
10017,51190.52,0.06845452757196249,106244.0,0.5041,0,51190.52,0.7613497681230168,0.02286161954276761,0.15212591695748165,0.8250124634997508,0.0956565402962591,0.1130952380952381,0.974822633673646,0.7512203780953226,0.057158072246383244,0.1379249134640987,0.053696636194195436,0.0,0.9486209421527947,0.44829414884214247,,
10018,30204.38,0.14418137145409873,84134.0,0.4997,0,30204.38,0.5876118942278012,0.07627332324760464,0.2031013615733737,0.7206253151790217,0.1866891678093028,0.0,0.9651311126860382,0.7660449405199001,0.046702893229549125,0.12086943750917903,0.06638272874137172,0.0,0.9239164007000926,0.3929350196249455,,
10019,61162.38,0.12066527852754427,94797.0,0.5537,0,61162.38,0.6892671667628391,0.0478584523082051,0.23043164268651742,0.7217099050052774,0.12222031529654057,0.05370843989769821,0.9483629367506098,0.7119620344877554,0.03720475293435734,0.12990870888277062,0.12092450369511665,0.0,0.9488420241706389,0.4250214224507284,,
